AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
490.68408	340.12894	766.9331	11.537017	520.27484	318.6654	854.0938	27.4141	672.3333	683.0	93999	2845.482	28170.371	53.966675	-38.462105	2845.4148	28169.705	54.45268	-44.45906	-29.657078	1.8091906	1.7922438	864.9144742488861
344.05518	265.1278	718.407	138.58484	770.7204	72.97578	866.09937	634.96875	450.66666	1000.0	95999	2897.4453	28684.81	55.22673	-42.146515	2897.421	28684.57	54.792103	-39.745934	-30.127031	1.7787395	1.7796806	888.7014169692993
455.06763	287.94513	756.3594	87.49955	505.37262	232.22931	799.1621	30.367172	606.5	850.1	97999	2947.8066	29183.39	53.838146	-45.019974	2947.7542	29182.873	55.283825	-37.166855	-30.610817	1.7844541	1.7823381	911.5530622005463
263.75085	271.71738	713.8875	44.093594	602.91376	276.83084	843.86957	56.738834	362.5	808.4	99999	2992.4607	29625.467	54.81403	-36.943695	2992.422	29625.086	55.656963	-28.772375	-31.08349	1.8700864	1.8664377	935.5677266120911
532.8382	246.61398	721.0947	184.45164	473.188	299.33765	809.27563	26.65331	719.6667	619.1	101999	3032.0986	30017.887	52.748634	-40.108208	3032.073	30017.633	55.179703	-39.499104	-31.451448	1.8154229	1.8213284	955.7068212032318
519.65546	253.84013	780.9259	175.8172	431.08487	331.0195	877.4464	34.4465	743.6667	487.7	103999	3071.3652	30406.629	53.780228	-39.437668	3071.3132	30406.117	57.270874	-33.84529	-31.8532	1.8481549	1.8275608	972.387220621109
656.6852	46.239777	702.9249	610.4454	671.681	267.80322	872.1364	49.53007	1000.0	843.6	105999	3125.955	30947.068	55.220478	-42.00734	3125.9175	30946.7	56.20759	-35.08868	-32.416653	1.792575	1.7723397	994.6703033447266
727.21655	32.40576	759.6223	694.8108	500.2298	286.3789	772.63696	36.42337	1000.0	722.9	107999	3180.1355	31483.457	55.631042	-35.821686	3180.135	31483.453	54.963104	-38.143806	-32.92639	1.7613444	1.7486278	1016.4651615619659
601.6578	338.55377	945.556	141.21516	406.3666	317.36902	885.8152	10.84174	769.3333	682.8	109999	3238.3254	32059.54	55.382534	-31.78055	3238.3225	32059.51	56.611008	-26.944798	-33.45276	1.777359	1.753298	1037.2431004047394
427.8519	309.566	737.4179	118.28591	632.42645	267.8457	883.6544	236.22337	586.0	799.5	111999	3282.388	32495.76	58.061905	-35.667747	3282.315	32495.04	58.844837	-38.53913	-33.922264	1.8090436	1.7971761	1058.4660449028015
268.92477	304.22446	778.4405	16.404533	429.71735	379.2188	899.6523	14.293109	356.85715	535.4	113999	3325.5945	32923.51	56.399048	-29.63024	3325.5833	32923.4	57.89534	-30.638111	-34.371357	1.8753377	1.8414459	1077.572380065918
419.0175	315.87173	798.28125	-0.6787497	679.34015	329.3713	941.92456	21.754967	496.4	809.2	115999	3375.4631	33417.207	54.95477	-30.375507	3375.434	33416.918	56.32906	-28.81056	-34.858624	1.8301749	1.8089595	1099.745284795761
417.28442	292.30225	709.5867	124.982155	761.9343	259.97156	941.44574	25.838177	557.0	857.7	117999	3429.8325	33955.46	54.5026	-31.34959	3429.7769	33954.914	54.7953	-35.68965	-35.36308	1.7632583	1.7681665	1122.3502299785614
