AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
819.7074	169.88414	1156.3483	678.21045	892.2158	64.46887	968.08154	789.8348	265.25	262.5	127999	17805.738	176278.0	280.13364	-73.40078	17805.54	176276.05	283.1449	-96.165596	-183.54355	27.46388	27.724352	990.9456057548523
784.54663	72.4801	911.3431	715.6372	1606.8464	206.51454	1914.0034	1293.8889	252.375	516.2	129999	17911.38	177323.89	284.4999	-76.381714	17911.389	177323.97	284.39874	-91.03035	-184.2847	25.625046	25.874723	1011.8293769359589
891.20734	123.45386	1060.1304	704.00116	960.8065	178.98639	1342.086	702.9679	287.0	312.0	131999	18025.533	178454.0	287.2176	-68.23901	18025.426	178452.92	287.2034	-76.96304	-185.63618	28.184206	27.817345	1030.40926527977
883.5937	154.2909	1134.3568	732.9559	1192.1426	114.83045	1390.5492	1072.52	286.42856	385.8	133999	18155.32	179738.86	289.4905	-63.481815	18155.246	179738.14	290.50854	-87.25334	-186.97066	23.645966	22.55294	1049.965588092804
907.1835	158.54825	1142.9622	719.2709	886.9945	153.19647	1096.8688	709.7605	289.2857	282.7	135999	18221.111	180390.22	292.81577	-69.199684	18221.088	180389.98	293.42905	-96.06385	-187.64423	28.006975	28.400238	1068.506528377533
984.7868	177.84685	1172.1177	683.3614	1420.3208	671.9287	3350.0525	1034.4694	318.83334	426.9	137999	18270.572	180879.89	290.7804	-58.345066	18270.705	180881.22	292.55273	-75.945244	-187.72247	26.333563	26.337765	1088.6230976581573
881.51044	173.06754	1154.1678	721.6913	1069.1711	111.283775	1401.9711	1018.87476	275.42856	339.1	139999	18344.225	181609.03	292.02563	-110.51377	18344.098	181607.78	292.47733	-104.760826	-189.10046	24.793648	24.68744	1107.0959219932556
904.5616	129.28452	1104.3721	763.03064	880.4072	82.85366	980.9283	680.1341	281.2857	273.4	141999	18534.264	183490.36	291.12097	-62.34118	18534.072	183488.47	289.32382	-71.61849	-190.1677	26.221752	26.464666	1124.8612763881683
937.8217	161.392	1173.0171	699.4074	943.47473	93.231575	1085.5695	806.9314	297.57144	289.8	143999	18608.922	184229.47	287.90494	-104.19379	18608.883	184229.1	290.08487	-97.033424	-190.72734	24.138489	24.564241	1143.0438935756683
731.91125	116.2721	847.0443	548.3304	666.14374	74.54427	775.195	538.989	231.5	211.9	145999	18604.186	184182.64	287.40778	-66.23447	18603.922	184180.03	287.0571	-97.9757	-190.80994	25.457022	25.201176	1160.366101026535
858.336	213.07655	1209.9037	543.2283	1788.1045	558.2378	2841.4062	1088.7292	263.875	538.5	147999	18675.428	184887.94	285.99265	-92.188805	18675.38	184887.47	286.76974	-84.732315	-191.66594	29.56324	29.09114	1181.7988483905792
863.08716	113.68372	1064.6028	631.8674	903.0109	8.4728365	918.7391	893.07385	254.75	259.9	149999	18749.396	185620.27	286.8069	-77.380615	18749.328	185619.58	289.55228	-96.568535	-192.33649	24.864552	24.234703	1198.9687111377716
1014.2712	213.80795	1329.969	761.472	1158.404	84.678055	1367.8938	1059.9636	311.16666	349.5	151999	18849.043	186606.78	284.96417	-61.282406	18849.072	186607.06	288.36005	-75.564026	-193.00052	24.885838	24.956923	1217.8149421215057
909.7028	111.44429	1075.5474	776.0526	1127.3687	23.0224	1154.758	1077.4398	282.0	342.4	153999	18946.594	187572.5	288.2332	-87.102745	18946.238	187568.97	291.3309	-84.68109	-194.01189	24.614216	24.701355	1236.8541169166565
864.8622	35.830143	914.8505	794.2871	1064.2759	48.185642	1100.003	929.5686	260.57144	321.5	155999	18952.166	187627.7	290.41144	-127.2414	18952.172	187627.77	290.28674	-81.9186	-193.97731	25.847836	25.55529	1255.1192798614502
833.4735	129.15543	956.0004	608.3368	951.14294	9.173428	965.8885	936.564	265.625	284.4	157999	18987.246	187975.05	289.92484	-108.67335	18987.197	187974.56	294.22574	-87.93744	-194.33781	23.375008	22.800177	1272.8100402355194
1076.1034	184.82263	1344.9038	862.56067	1471.2662	160.74	1810.8613	1275.7313	326.6	439.9	159999	19160.553	189690.73	287.4938	-77.624695	19160.516	189690.39	290.26413	-68.00399	-196.14241	24.272144	24.06191	1292.742862701416
1277.005	325.39355	1744.507	902.49207	1240.1123	108.2094	1450.7651	1157.8131	393.16666	376.2	161999	19273.152	190805.47	289.75992	-99.622284	19273.068	190804.64	292.92957	-156.99512	-197.26086	23.962473	24.57735	1311.9157156944275
1009.404	192.49155	1227.5531	736.25366	934.34485	92.667564	1175.955	863.72424	304.66666	277.0	163999	19429.6	192354.28	290.9939	-53.819485	19429.572	192354.0	289.6115	-83.50908	-198.90585	23.616663	23.37968	1330.2444641590118
898.42725	105.61256	1118.1892	790.0963	905.86096	33.464973	952.123	842.09784	268.125	270.1	165999	19493.783	192989.69	290.32245	-58.69622	19493.932	192991.14	290.8727	-61.213306	-198.86438	24.976053	25.117422	1347.9690203666687
