AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	LossV	LossPi	Entropy	KL	TotalEnvInteracts	Time
1023.8146	0.0068359375	1023.8214	1023.80774	926.03076	202.53278	1038.4939	426.60922	1000.0	904.4	919.37787	12.5133705	992.7808	869.21454	394.5641	-0.006349432	2.429001	0.009298888	148000	951.693706035614
811.6726	222.17192	1033.8445	589.5007	1031.235	5.053163	1039.715	1024.2141	779.0	1000.0	966.3835	13.022875	1022.5043	887.3072	119051.65	-0.006654583	2.4658368	0.0140766725	150000	967.8254313468933
1021.63904	2.8045654	1024.4436	1018.8345	1020.63904	5.6487756	1028.5956	1008.33044	1000.0	1000.0	798.7738	23.024551	925.9032	684.686	3020.722	-0.009573093	2.3923528	0.011416275	152000	980.5737943649292
1029.0526	0.8272705	1029.8799	1028.2253	1024.4786	2.0225313	1027.5963	1020.83093	1000.0	1000.0	871.19586	18.073774	1004.33417	822.0645	1251.4501	-0.0049477327	2.461224	0.01566958	154000	996.8918573856354
577.31647	456.8091	1034.1256	120.50738	875.75946	304.8301	1026.7657	65.3393	557.5	861.3	925.6301	17.292212	1111.6245	850.12726	40850.477	-0.0008348554	2.4471216	0.011828852	156000	1008.9652457237244
559.71924	467.1769	1026.8961	92.5423	814.57654	318.9433	1033.6195	68.65411	545.0	798.5	913.76465	63.947765	1052.08	491.28693	30935.713	-0.008227124	2.4418585	0.011277784	158000	1023.9958417415619
1033.48	10.581848	1044.0618	1022.8981	930.9041	290.6597	1050.243	59.282993	1000.0	907.2	936.4398	47.717594	1033.4565	596.13525	3101.534	-0.0038538035	2.475862	0.013548816	160000	1037.6277878284454
1025.7412	14.4644165	1040.2056	1011.27673	411.36646	257.86853	1010.761	67.44001	1000.0	407.2	908.07935	20.69311	980.4104	785.80237	1326.874	-0.0048071444	2.3981137	0.013635666	162000	1048.4142632484436
236.41956	197.20784	532.19464	43.534744	311.95758	328.6903	974.23816	14.376875	234.33333	311.0	919.8917	14.113921	973.051	859.0603	149292.22	-0.0041950285	2.4294167	0.00980084	164000	1057.9199607372284
1004.40857	2.2712708	1006.6798	1002.13727	611.9751	369.5341	1029.3586	15.563775	993.5	603.7	409.85318	39.61019	524.9334	149.37018	39467.457	-0.000709641	2.399354	0.020278905	166000	1070.1307907104492
1011.80066	0.09451295	1011.89514	1011.7061	923.86584	269.1211	1018.2546	116.6187	1000.0	911.8	495.13892	19.811676	668.10596	413.6417	12824.436	-0.0043135877	2.4473174	0.012652102	168000	1085.4880826473236
1007.5034	7.809082	1015.3125	999.69434	1018.016	6.6890798	1029.3252	1010.273	1000.0	1000.0	680.28284	18.365005	797.9305	597.51733	4880.673	-0.0055356734	2.4475105	0.014872315	170000	1100.1502258777618
799.55725	216.47733	1016.03455	583.0799	834.55774	255.38002	1025.1625	332.2266	787.5	824.5	805.1199	25.510698	984.9112	701.614	88555.984	-0.0034656348	2.460614	0.011003546	172000	1112.670789718628
1027.6274	7.7183533	1035.3458	1019.9091	1016.0861	8.278957	1031.92	1004.2633	1000.0	1000.0	684.06573	13.106506	784.29126	629.2988	4590.58	-0.006129109	2.3971345	0.010709397	174000	1127.9409158229828
1029.9607	8.342255	1038.303	1021.61847	1020.7643	5.908548	1028.1024	1010.18854	1000.0	1000.0	830.0526	19.799393	963.10095	766.1973	1671.8298	-0.0058667734	2.417174	0.011145619	176000	1146.1317694187164
1042.9133	0.48486328	1043.3982	1042.4285	905.8791	251.45485	1040.7542	235.81445	1000.0	887.7	911.1385	16.708921	1008.9689	836.2887	667.5882	-0.003901497	2.4504585	0.01404113	178000	1160.9310672283173
584.01294	384.78558	1054.2068	111.68566	580.1279	318.6305	1083.4359	232.63898	559.6667	549.7	972.948	25.868843	1096.3655	862.5746	152923.53	-0.0029295671	2.4171429	0.02829831	180000	1173.6066677570343
813.10516	235.43341	1048.5386	577.67175	721.5392	348.3644	1048.787	70.18969	779.0	703.9	765.7921	70.245186	877.4355	421.40204	93864.14	0.02034544	2.484933	0.03369269	182000	1186.2941188812256
1049.2784	8.565308	1057.8438	1040.7131	1031.5856	7.5300665	1045.12	1016.5128	1000.0	1000.0	731.82806	23.268173	792.3708	584.7804	4117.6406	0.018769858	2.439271	0.017274765	184000	1201.909054517746
1036.2854	11.197815	1047.4833	1025.0876	1028.3271	6.893089	1037.9009	1014.9234	1000.0	1000.0	870.2475	10.986692	916.99695	816.1668	1059.6575	0.005534706	2.443149	0.036520515	186000	1217.278978586197
1023.20105	1.7304688	1024.9315	1021.4706	1022.7928	3.2690032	1029.9724	1019.1321	1000.0	1000.0	943.6608	10.048581	977.2694	891.99994	239.76555	0.015472148	2.4611092	0.019453272	188000	1231.8211598396301
1015.1451	1.88031	1017.0254	1013.2648	1016.8861	4.5234723	1026.0431	1010.37115	1000.0	1000.0	989.27374	6.174632	1022.8093	953.81226	79.757545	0.00037429013	2.4433467	0.009502309	190000	1248.635338306427
1015.2561	1.5031738	1016.7593	1013.7529	1018.40295	3.0718555	1023.5407	1014.07697	1000.0	1000.0	1012.22473	7.098117	1052.4038	934.99054	117.98212	-0.0028613487	2.4581623	0.008535074	192000	1264.1424062252045
1018.45166	1.0862122	1019.5379	1017.3655	1016.3701	3.3572266	1022.3871	1008.9233	1000.0	1000.0	1031.6768	5.0439167	1061.61	1011.83014	123.08887	-0.004530505	2.4039035	0.0075771795	194000	1279.0679678916931
1022.47107	5.19516	1027.6663	1017.27594	1021.4662	3.2769082	1027.4728	1015.8178	1000.0	1000.0	1039.9567	6.105407	1067.5911	1002.40674	148.07462	-0.0111577995	2.4764056	0.010313321	196000	1293.9722208976746
1022.7765	0.21902466	1022.99554	1022.5575	1021.5674	4.2395506	1030.4116	1015.7293	1000.0	1000.0	1047.6897	6.2408175	1081.5143	1005.3932	119.0531	-0.03253281	2.4199228	0.011707618	198000	1311.532663822174
1025.8047	6.100525	1031.9052	1019.7041	1021.8229	3.5681574	1027.7874	1015.75586	1000.0	1000.0	1048.7795	5.76045	1074.2888	1019.94135	138.35884	-0.018724337	2.382604	0.0116244685	200000	1327.722559928894
1019.84375	5.0489807	1024.8927	1014.79474	1023.1004	5.0451665	1030.6013	1016.42566	1000.0	1000.0	1052.8285	4.45389	1075.9656	1031.9797	150.07605	-0.030861462	2.4152741	0.007572117	202000	1344.6176257133484
1022.8093	4.5714417	1027.3807	1018.23785	1020.36786	3.1715477	1027.9269	1015.60486	1000.0	1000.0	1051.1696	4.6512704	1071.4021	1016.1283	127.6584	-0.028697336	2.2968183	0.008609499	204000	1363.4485466480255
1023.5606	1.4072876	1024.9679	1022.1533	1022.8672	2.8866246	1027.4952	1017.2399	1000.0	1000.0	1051.6416	4.3509684	1073.5348	1033.7517	115.91239	-0.0045491983	2.2746737	0.009483744	206000	1379.564465522766
1022.6594	0.8235779	1023.483	1021.8358	1024.1335	4.7386246	1031.8062	1018.92194	1000.0	1000.0	1048.423	4.3985763	1067.9537	1001.8173	99.8494	-0.003978889	2.2919977	0.010164595	208000	1395.8583581447601
1026.6411	0.5298462	1027.171	1026.1113	1027.6981	1.8814077	1030.3921	1023.6975	1000.0	1000.0	1044.679	4.601995	1063.6052	997.82666	95.24736	-0.030553525	2.2498562	0.007995794	210000	1412.953530073166
1025.6477	0.65374756	1026.3015	1024.994	1027.1436	2.4012573	1031.1678	1023.71765	1000.0	1000.0	1043.6305	3.938977	1063.9388	1025.333	71.152016	-0.030621966	2.2389035	0.0113605745	212000	1431.785251379013
1029.9565	3.968628	1033.9252	1025.9879	1028.8455	3.2478445	1033.6991	1023.37714	1000.0	1000.0	1040.6497	3.9734502	1065.0212	1007.58466	67.75224	-0.0047783735	2.2191796	0.012888615	214000	1449.4611957073212
927.24884	105.13507	1032.3839	822.1138	1033.3561	2.6249456	1037.4626	1029.3604	893.5	1000.0	1038.7496	4.7667356	1055.7144	1007.4775	137957.89	-0.0068028136	2.1395164	0.009329984	216000	1465.4118402004242
1034.385	1.7268677	1036.1118	1032.6581	1033.6549	3.6607668	1039.4484	1028.0316	1000.0	1000.0	757.25385	35.562584	868.9914	625.3862	2406.8916	-0.030988682	2.1940217	0.0027684718	218000	1483.0304260253906
1032.1665	4.6555176	1036.822	1027.511	1031.9216	1.8854178	1035.4161	1029.2809	1000.0	1000.0	904.3695	17.394466	972.0479	856.6094	438.33136	-0.031928677	2.1982837	0.008057412	220000	1500.8984870910645
1032.5636	0.8482666	1033.4119	1031.7153	1034.0077	2.4617214	1036.9956	1029.6998	1000.0	1000.0	975.2264	11.35117	1028.464	938.0451	172.53555	-0.03480646	2.1051605	0.010871142	222000	1518.8150181770325
1034.8572	1.3526001	1036.2098	1033.5046	1034.0422	2.2082775	1036.3142	1028.3436	1000.0	1000.0	1021.0545	8.195555	1066.2395	982.50385	154.67793	-0.026598193	2.041991	0.010601312	224000	1536.7482116222382
1035.279	1.5421753	1036.8213	1033.7369	1033.2537	2.8142629	1040.4064	1030.1365	1000.0	1000.0	1044.0403	6.6384935	1079.6307	1011.75653	171.15828	-0.015112946	2.053722	0.009848183	226000	1552.8189358711243
1031.1494	1.6970825	1032.8466	1029.4524	1030.2656	2.6063845	1035.4961	1027.1277	1000.0	1000.0	1057.0138	5.1613083	1089.1635	1026.5347	174.09933	-0.01606864	2.0476453	0.009492621	228000	1567.9694557189941
1031.5962	2.96875	1034.565	1028.6274	1030.3008	2.0918775	1035.6133	1026.8148	1000.0	1000.0	1058.415	4.22672	1090.8511	1036.108	173.7623	-0.022385037	2.0630012	0.010931913	230000	1584.774752855301
1029.855	3.1364136	1032.9913	1026.7185	1030.1832	1.9343743	1033.9546	1027.3547	1000.0	1000.0	1057.095	5.2337623	1082.5844	1019.1131	156.85051	-0.036513794	2.0495856	0.010780619	232000	1602.6386315822601
1030.4078	0.6993408	1031.1072	1029.7085	1031.7424	2.857853	1035.1732	1025.1152	1000.0	1000.0	1055.0605	3.2711678	1076.2078	1037.1224	118.244225	-0.028246878	1.9587749	0.010330526	234000	1618.9875564575195
1029.0371	2.9031372	1031.9403	1026.134	1030.7751	2.470197	1035.3491	1026.5431	1000.0	1000.0	1053.0128	3.7870638	1073.5813	1027.7191	121.45178	-0.012904296	1.953932	0.008936365	236000	1636.058590888977
1027.6804	1.2442627	1028.9247	1026.4362	1028.6804	1.6431956	1030.551	1024.9152	1000.0	1000.0	1048.2657	2.9116573	1065.962	1034.4269	82.54732	-0.0065350174	1.8788953	0.011497594	238000	1653.1625900268555
1027.6116	1.5097046	1029.1213	1026.1019	1027.2417	2.1981437	1031.6156	1023.6747	1000.0	1000.0	1045.579	3.0703716	1064.3724	1027.9985	80.95227	-0.032304164	1.8503029	0.010458278	240000	1669.9150142669678
1027.1962	2.005249	1029.2014	1025.1909	1028.4231	2.457879	1033.8789	1025.466	1000.0	1000.0	1042.7046	2.8950021	1058.9445	1028.8909	64.04497	-0.0071348734	1.840832	0.009209825	242000	1685.355285167694
1029.2356	2.4883423	1031.7239	1026.7472	1029.3488	2.334263	1034.8937	1026.3862	1000.0	1000.0	1038.5404	2.9628794	1055.4878	1023.1537	56.622204	-0.0047843307	1.822093	0.0146535365	244000	1701.1096816062927
