AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1040.857	293.1482	1506.7933	723.93555	1132.4705	90.12495	1355.8162	996.3824	312.0	323.7	203999	37106.195	367352.75	478.06998	-237.67386	-373.334	79.110374	1567.6449224948883
844.1437	204.51663	1144.3989	413.2729	958.3097	45.1878	1074.6644	909.0319	257.25	276.9	205999	37246.117	368737.97	478.44534	-223.72575	-374.5968	72.170586	1582.9145975112915
865.1265	366.94144	1179.4316	31.075388	1078.4712	119.15237	1248.0172	972.67804	263.14285	321.4	207999	37289.508	369167.53	473.90048	-124.9176	-374.957	85.5054	1597.8185231685638
918.49176	297.44138	1310.2113	327.31134	1424.3353	766.2082	3201.0847	816.0557	276.85715	453.9	209999	37316.242	369432.2	472.43655	-224.66043	-375.20624	67.50019	1614.7783184051514
1031.026	312.14133	1516.3336	701.2663	7.5000396	0.14561805	7.779849	7.310638	309.6	11.0	211999	37330.97	369577.97	471.9881	-172.33522	-375.33737	77.09646	1628.138175725937
604.07666	898.7366	3192.166	7.754595	1985.1918	737.64154	3028.4702	1027.7549	197.0	647.2	213999	37335.96	369627.38	469.6986	-317.37857	-375.31802	76.67361	1645.4504771232605
1344.7969	1019.3331	3042.4849	141.23505	162.53069	38.415844	243.48863	141.03445	426.66666	83.8	215999	37261.016	368885.47	470.5461	-170.23691	-374.63406	77.55003	1657.3156790733337
250.44489	191.46765	847.33624	62.121403	159.12617	3.8036108	168.82149	155.2866	101.833336	80.2	217999	37186.484	368147.6	465.11475	-277.37704	-373.9292	83.854904	1670.6383023262024
335.25104	328.99762	1023.33813	45.44992	184.69449	107.528564	359.77173	12.36183	121.17647	78.5	219999	37114.145	367431.47	464.6783	-205.55785	-373.2627	78.308525	1683.909292459488
334.1234	283.0129	886.1313	9.61363	338.20154	50.171196	425.71573	283.29404	117.05556	121.3	221999	37040.96	366706.97	469.7536	-241.33447	-372.5455	86.84875	1697.546998500824
717.6936	344.3436	1356.6234	280.07755	765.04803	60.263405	907.3317	717.76416	216.55556	230.3	223999	37071.312	367007.44	468.29208	-195.72668	-372.90576	76.12151	1710.9050633907318
611.21954	230.73737	949.1868	322.91046	2677.3987	707.78827	3363.7888	1561.506	199.0	813.6	225999	37152.7	367813.2	469.00082	-180.65738	-373.64453	74.42871	1730.523196697235
581.65643	321.26382	1241.5807	216.31587	578.99744	5.0073795	586.4723	571.8979	191.54546	188.7	227999	37174.85	368032.53	465.37076	-165.41512	-373.85593	77.0909	1745.0823888778687
634.4354	321.65436	1446.6793	386.73953	1104.7397	725.08386	2954.412	558.8682	212.875	359.9	229999	37247.355	368750.25	462.4869	-174.45128	-374.53125	75.90567	1761.0426936149597
826.0765	565.28723	2107.2922	186.41162	331.96347	9.180457	342.2916	305.88403	278.0	142.8	231999	37335.746	369625.28	465.32404	-279.30292	-375.42975	73.89915	1775.1160943508148
631.1574	130.721	822.0336	336.4885	986.39355	122.32148	1057.0482	625.2187	207.44444	291.7	233999	37542.434	371671.44	548.2803	-314.00345	-377.6473	81.39789	1790.37966299057
631.8807	290.78622	1232.8599	192.81526	580.67645	124.22706	795.9548	288.1215	203.3	179.4	235999	37717.938	373408.94	561.28735	-202.22336	-379.32706	72.79602	1803.4191477298737
597.3245	169.61336	873.1294	294.79025	464.78345	301.90784	1158.359	232.41989	194.0	178.2	237999	37652.21	372758.25	526.5012	-215.63228	-378.59738	69.77975	1817.6361601352692
857.21155	654.2305	2099.5803	332.0288	262.76608	56.107758	425.1171	233.45348	288.2857	123.6	239999	37691.56	373147.78	475.96353	-274.5473	-379.0563	77.94579	1831.4545786380768
705.5131	985.9796	2886.9028	126.61156	2584.187	9.294063	2602.596	2571.1316	268.0	1000.0	241999	37814.77	374367.6	477.04047	-245.19931	-380.25943	75.83313	1852.6913847923279
1429.4915	706.78375	2804.267	855.7472	1668.485	892.3331	3343.215	467.53345	480.2	503.4	243999	37808.07	374301.25	481.56082	-247.06035	-380.10022	77.62253	1869.7421615123749
1620.9425	552.1636	2399.8867	1183.9163	1633.0372	1093.419	3037.8342	389.50867	483.66666	556.5	245999	37795.113	374173.0	470.19327	-180.78368	-380.01843	81.46136	1887.7064654827118
1111.8386	565.4691	2185.7942	485.60645	704.329	27.775673	739.36914	657.40405	348.0	219.3	247999	37728.406	373512.62	470.65204	-137.80113	-379.3063	74.56906	1902.655924320221
866.9022	478.44888	1656.8982	285.2637	270.5143	5.134094	280.06577	264.01663	262.625	107.9	249999	37672.805	372962.2	469.984	-223.44923	-378.81213	73.02971	1914.1043105125427
